Sort Name,Array Size,Time Taken,CPU Usage,Number of Threads Used
Radix Sort,1000000,81350,10.3965,2
Radix Sort,1000000,71494,15.2149,4
Radix Sort,1000000,68681,20.1428,8
Insertion Sort,1000000,547841896,6.25,1
Insertion Sort,1000000,146261703,12.2599,2
Insertion Sort,1000000,46688284,24.5612,4
Insertion Sort,1000000,16369734,48.1895,8
Quick Sort,1000000,171889,6.24944,1
Quick Sort,1000000,103889,11.0675,2
Quick Sort,1000000,86501,16.9396,4
Quick Sort,1000000,76193,22.5611,8
Selection Sort,1000000,992946186,6.25,1
Selection Sort,1000000,265694315,12.4971,2
Selection Sort,1000000,84087687,24.8217,4
Selection Sort,1000000,28692646,48.8636,8
